trial,score,record,avg_score,epsilon,duration_s
1,0,0,0.0,79,1.33
2,0,0,0.0,78,4.44
3,0,0,0.0,77,2.17
4,0,0,0.0,76,1.16
5,0,0,0.0,75,3.67
6,0,0,0.0,74,1.12
7,0,0,0.0,73,2.53
8,0,0,0.0,72,0.67
9,0,0,0.0,71,1.37
10,0,0,0.0,70,1.85
11,0,0,0.0,69,1.29
12,0,0,0.0,68,1.65
13,0,0,0.0,67,0.8
14,0,0,0.0,66,2.61
15,0,0,0.0,65,0.88
16,0,0,0.0,64,1.05
17,0,0,0.0,63,1.04
18,0,0,0.0,62,1.84
19,0,0,0.0,61,2.53
20,1,1,0.05,60,1.17
21,0,1,0.048,59,2.82
22,0,1,0.045,58,2.67
23,0,1,0.043,57,3.73
24,0,1,0.042,56,1.35
25,1,1,0.08,55,1.09
26,0,1,0.077,54,2.29
27,0,1,0.074,53,1.99
28,2,2,0.143,52,2.53
29,0,2,0.138,51,0.63
30,0,2,0.133,50,1.53
31,0,2,0.129,49,1.25
32,0,2,0.125,48,0.65
33,0,2,0.121,47,0.89
34,0,2,0.118,46,1.89
35,0,2,0.114,45,0.99
36,1,2,0.139,44,1.17
37,0,2,0.135,43,3.31
38,0,2,0.132,42,1.85
39,0,2,0.128,41,3.74
40,0,2,0.125,40,0.8
41,1,2,0.146,39,2.2
42,0,2,0.143,38,1.12
43,0,2,0.14,37,0.86
44,0,2,0.136,36,5.61
45,0,2,0.133,35,3.3
46,1,2,0.152,34,4.82
47,0,2,0.149,33,1.93
48,0,2,0.146,32,3.47
49,0,2,0.143,31,2.02
50,2,2,0.18,30,8.74
51,0,2,0.176,29,2.32
52,0,2,0.173,28,1.47
53,0,2,0.17,27,2.93
54,1,2,0.185,26,2.09
55,1,2,0.2,25,7.19
56,2,2,0.232,24,8.85
57,0,2,0.228,23,6.84
58,1,2,0.241,22,5.12
59,0,2,0.237,21,2.94
60,0,2,0.233,20,0.65
61,1,2,0.246,19,0.96
62,1,2,0.258,18,2.35
63,0,2,0.254,17,0.68
64,0,2,0.25,16,0.81
65,0,2,0.246,15,7.51
66,4,4,0.303,14,6.58
67,3,4,0.343,13,5.58
68,0,4,0.338,12,4.4
69,2,4,0.362,11,7.26
70,1,4,0.371,10,5.83
71,1,4,0.38,9,2.48
